11:30:53.546 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:30:54.242 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:30:54.645 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:30:54.661 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:30:54.668 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info removed from the database
11:31:48.598 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:31:48.630 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:31:48.645 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:31:48.775 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:31:48.934 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:31:49.123 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:31:49.154 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:31:49.175 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:31:49.197 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info removed from the database
11:31:49.296 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:31:49.337 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:31:49.353 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:31:49.753 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:31:49.771 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:31:49.779 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info removed from the database
11:56:21.511 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:56:21.543 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:56:21.561 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:56:21.673 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:56:21.831 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:56:22.010 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:56:22.065 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:56:22.084 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:56:22.104 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info removed from the database
11:56:22.192 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:56:22.237 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:56:22.253 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:56:22.602 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:56:22.618 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
11:56:22.625 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info removed from the database
12:03:14.112 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:03:14.146 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:03:14.164 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:03:14.280 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:03:14.423 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:03:14.659 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:03:14.770 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:03:14.790 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:03:14.811 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info removed from the database
12:03:14.927 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:03:14.967 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:03:14.984 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:03:15.395 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:03:15.412 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:03:15.420 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info removed from the database
12:16:07.531 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:16:07.565 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:16:07.581 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:16:07.675 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:16:07.854 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:16:08.021 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:16:08.067 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:16:08.084 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:16:08.106 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info removed from the database
12:16:08.223 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:16:08.260 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:16:08.276 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:16:08.648 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:16:08.665 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:16:08.672 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info removed from the database
12:59:46.203 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:59:46.526 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:59:46.541 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:59:46.634 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:59:46.798 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:59:46.947 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:59:46.981 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:59:47.001 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:59:47.023 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info removed from the database
12:59:47.108 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:59:47.203 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:59:47.228 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 3, Vehicle{id=3, price=4, brand=SKODA}, Customer{id=3, name=Tom Gober, address=Forest St. 51, phone=758 174 994, email=tom.gober@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:59:47.577 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 1, Vehicle{id=1, price=2, brand=AUDI}, Customer{id=1, name=John Smith, address=Maple St. 3, phone=836 484 147, email=john.smith@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:59:47.595 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info added to the database
12:59:47.603 [main] DEBUG c.m.f.p.r.ReservationManagerImpl - Entity 2, Vehicle{id=2, price=1, brand=FORD}, Customer{id=2, name=Alan Herold, address=Main St. 27, phone=368 987 124, email=alan.herold@gmail.com}, 2014-02-01, 2014-06-05, null, info removed from the database
